,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
1,74447,58032,50.4,61.2,14.7,13.8,0600014,2015,Unified
2,63117,47536,58.9,72.4,3.7,3.3,0600016,2015,Unified
3,60729,41043,45.6,61.5,11.9,10.7,0600017,2015,Unified
4,61495,46442,63.4,76.7,3.9,3.5,0600020,2015,Unified
5,100489,77187,53.9,66.2,9.6,8.1,0600027,2015,Unified
6,119914,92804,58.6,70.5,8.5,7.6,0600028,2015,Unified
7,86904,65559,53.6,66.3,11.2,11.1,0600029,2015,Unified
8,56565,46691,70.4,80.3,5.5,5.5,0600032,2015,Unified
9,60666,52973,70.5,77.4,4.3,4.1,0600036,2015,Unified
10,60336,47430,64.2,76.1,8,7.2,0600047,2015,Unified
11,103718,78914,56.8,71.6,5,5.1,0600153,2015,Unified
12,56695,41132,55.2,69.8,7.7,7.6,0600158,2015,Unified
13,138686,108480,51.9,62,9.2,8.5,0601332,2015,Unified
14,73919,54677,66.9,82,4.2,3.9,0601414,2015,Unified
15,83008,61243,54.1,68.4,7.4,7.3,0601620,2015,Unified
16,64837,51113,62.2,74.9,4.3,4.2,0601770,2015,Unified
17,85102,68016,61.1,71.7,7.6,5.8,0602430,2015,Unified
18,87714,69094,57.3,66.7,7.5,7.6,0602850,2015,Unified
19,57942,46028,56.9,66.7,9.2,8.1,0603600,2015,Unified
20,59558,45306,56.3,68.1,4.6,4.8,0603690,2015,Unified
21,65930,49513,54.1,68.2,5.6,4.4,0604440,2015,Unified
22,107090,77909,59.2,71.3,7,6.6,0604740,2015,Unified
23,84504,64964,62,74.5,6.4,6.7,0606450,2015,Unified
24,294657,218508,62.9,75.8,4.4,4.3,0607440,2015,Unified
25,62401,44351,59.2,74.6,5.7,5.5,0607500,2015,Unified
26,57253,46212,57.6,68.3,9.8,9.1,0607970,2015,Unified
27,94506,70609,56.6,69.5,10.2,9.6,0608370,2015,Unified
28,154311,125563,54.9,63.6,7.5,7.1,0608460,2015,Unified
29,160516,120630,60.9,74.5,6.1,5.4,0609030,2015,Unified
30,73890,57114,53.6,65.7,13.2,13.1,0609070,2015,Unified
31,84193,66111,58.2,70.3,6.1,5.6,0609390,2015,Unified
32,121773,95759,54.8,65.4,10.8,9.9,0609620,2015,Unified
33,112051,78597,61,77.9,7.1,5.6,0609640,2015,Unified
34,212270,168976,61.2,72.6,7.3,6.1,0609850,2015,Unified
35,61965,46541,61.1,76,6.2,5.5,0610050,2015,Unified
36,67810,49649,52.6,64.7,5.2,4.9,0610620,2015,Unified
37,156969,96812,52,74.3,7.4,6.6,0611110,2015,Unified
38,101456,79868,60.3,72.6,5.3,4.7,0611460,2015,Unified
39,260823,206221,58,69.7,8.5,7.9,0612330,2015,Unified
